STATE,Electoral Votes
ALABAMA,9
ALASKA,3
ARIZONA,11
ARKANSAS,6
CALIFORNIA,55
COLORADO,9
CONNECTICUT,7
DELAWARE,3
DISTRICT OF COLUMBIA,3
FLORIDA,29
GEORGIA,16
HAWAII,4
IDAHO,4
ILLINOIS,20
INDIANA,11
IOWA,6
KANSAS,6
KENTUCKY,8
LOUISIANA,8
MAINE,4
MARYLAND,10
MASSACHUSETTS,11
MICHIGAN,16
MINNESOTA,10
MISSISSIPPI,6
MISSOURI,10
MONTANA,3
NEBRASKA,5
NEVADA,6
NEW HAMPSHIRE,4
NEW JERSEY,14
NEW MEXICO,5
NEW YORK,29
NORTH CAROLINA,15
NORTH DAKOTA,3
OHIO,18
OKLAHOMA,7
OREGON,7
PENNSYLVANIA,20
RHODE ISLAND,4
SOUTH CAROLINA,9
SOUTH DAKOTA,3
TENNESSEE,11
TEXAS,38
UTAH,6
VERMONT,3
VIRGINIA,13
WASHINGTON,12
WEST VIRGINIA,5
WISCONSIN,10
WYOMING,3
