Feature,Coefficient,Year,Party
PAST_5_ELECTION_VOTING,2.0741088264674525,2000,Republican
REGION_South,1.0653515948274903,2000,Republican
previous_senate_outcome,0.8940669110859649,2000,Republican
PCT_WHITE,0.4923029223230918,2000,Republican
REGION_West,0.1332763461599247,2000,Republican
PCT_OVER_60,0.05700981933871513,2000,Democrat
REGION_Midwest,0.06356188397317716,2000,Democrat
unemployment_rate,0.07410175342105375,2000,Democrat
PCT_BLACK,0.25392878980895595,2000,Democrat
gdp_per_capita,0.331634385652807,2000,Democrat
bachelors_per_capita,0.4756206467715005,2000,Democrat
PCT_HISPANIC,0.5574835207343628,2000,Democrat
REGION_Northeast,1.1351545526303413,2000,Democrat
PAST_5_ELECTION_VOTING,2.2461403575050922,2004,Republican
previous_senate_outcome,0.9534888742957471,2004,Republican
REGION_South,0.9201595606235636,2004,Republican
PCT_WHITE,0.46297014312187695,2004,Republican
REGION_Midwest,0.33404621462878753,2004,Republican
REGION_West,0.25396046466031624,2004,Republican
PCT_OVER_60,0.12102296635064107,2004,Republican
PCT_HISPANIC,0.06279070080448476,2004,Republican
unemployment_rate,0.16557961409047933,2004,Democrat
PCT_BLACK,0.22929145855246502,2004,Democrat
gdp_per_capita,0.36601729407359823,2004,Democrat
bachelors_per_capita,0.5850734040689595,2004,Democrat
REGION_Northeast,1.5081579904808071,2004,Democrat
PAST_5_ELECTION_VOTING,1.883112349282221,2008,Republican
previous_senate_outcome,0.9467010149932615,2008,Republican
REGION_South,0.6825603319013386,2008,Republican
PCT_WHITE,0.35688669516335947,2008,Republican
REGION_West,0.20455994572252237,2008,Republican
REGION_Midwest,0.0689826472300921,2008,Republican
PCT_OVER_60,0.038316322857768065,2008,Democrat
gdp_per_capita,0.24235283575548835,2008,Democrat
PCT_BLACK,0.26593895111929866,2008,Democrat
unemployment_rate,0.33116457040746755,2008,Democrat
bachelors_per_capita,0.4910170573141075,2008,Democrat
PCT_HISPANIC,0.6136200036985704,2008,Democrat
REGION_Northeast,0.956068275977132,2008,Democrat
PAST_5_ELECTION_VOTING,2.5178939078223803,2012,Republican
previous_senate_outcome,1.346276045211862,2012,Republican
REGION_South,0.6390383793389586,2012,Republican
REGION_West,0.25534331592588616,2012,Republican
PCT_WHITE,0.22588191419129822,2012,Republican
REGION_Midwest,0.11698851459088012,2012,Democrat
PCT_BLACK,0.12919750750800668,2012,Democrat
PCT_OVER_60,0.14495650975697175,2012,Democrat
gdp_per_capita,0.2126965867871913,2012,Democrat
unemployment_rate,0.27154037612836524,2012,Democrat
bachelors_per_capita,0.4056792694833328,2012,Democrat
PCT_HISPANIC,0.5229587453773005,2012,Democrat
REGION_Northeast,0.7774078467811579,2012,Democrat
PAST_5_ELECTION_VOTING,2.0720932288825615,2016,Republican
REGION_Midwest,1.015141078786327,2016,Republican
previous_senate_outcome,1.0113229817744556,2016,Republican
PCT_WHITE,0.334400494842879,2016,Republican
REGION_South,0.30016490220927566,2016,Republican
unemployment_rate,0.1756799076483251,2016,Republican
PCT_OVER_60,0.14004678432765166,2016,Republican
PCT_BLACK,0.05807364107329386,2016,Democrat
gdp_per_capita,0.429818241324507,2016,Democrat
PCT_HISPANIC,0.49582024373094197,2016,Democrat
bachelors_per_capita,0.5986775842507683,2016,Democrat
REGION_West,0.6275436352713804,2016,Democrat
REGION_Northeast,0.6880757627015048,2016,Democrat
PAST_5_ELECTION_VOTING,2.05166727624173,2020,Republican
previous_senate_outcome,1.7643502143721803,2020,Republican
REGION_Midwest,0.516980213209733,2020,Republican
PCT_WHITE,0.4281694068853457,2020,Republican
REGION_South,0.3346167893974019,2020,Republican
PCT_OVER_60,0.1432511914144919,2020,Republican
REGION_West,0.11342599153244576,2020,Democrat
gdp_per_capita,0.2736625081142698,2020,Democrat
PCT_BLACK,0.3249237091152041,2020,Democrat
unemployment_rate,0.3280567905446761,2020,Democrat
bachelors_per_capita,0.3804532555506867,2020,Democrat
PCT_HISPANIC,0.48684212029951274,2020,Democrat
REGION_Northeast,0.7382137864003567,2020,Democrat
